,ETF,Ticker,Technical Action,Score
177,SPY,XEL,Sell,54.15244691160198
340,SPY,GRMN,Sell,53.87064475429247
41,SPY,WFC,Sell,53.68205443581351
313,SPY,MAA,Sell,50.4953077912623
33,SPY,CMCSA,Sell,50.161278134018005
425,SPY,SYF,Sell,48.86428380245523
11,SPY,PG,Sell,48.73896272509254
457,SPY,TAP,Sell,46.533145641137
124,SPY,APD,Sell,46.50665245684779
276,SPY,AEE,Sell,46.3897770234926
441,SPY,RE,Sell,45.69797870049222
438,SPY,SNA,Sell,43.79744187814866
185,SPY,PAYX,Sell,43.32118688356915
46,SPY,TXN,Sell,43.28110167170835
23,SPY,BAC,Sell,43.24572476034638
7,SPY,JNJ,Sell,42.123118807233695
138,SPY,PSA,Sell,41.86398370419895
411,SPY,CPT,Sell,41.354860110784124
105,SPY,TGT,Sell,41.27527048405162
183,SPY,AIG,Sell,41.17133125042324
319,SPY,GPC,Sell,40.60992978495192
199,SPY,JCI,Sell,39.674298136099154
234,SPY,IFF,Sell,37.832352076326536
55,SPY,CVS,Sell,37.56062486837517
72,SPY,PLD,Sell,37.065885334736244
309,SPY,FANG,Sell,36.67254167988207
47,SPY,RTX,Sell,36.21587310888768
285,SPY,HIG,Sell,36.11997147561598
174,SPY,TRV,Sell,35.51452506736668
73,SPY,MDLZ,Buy,34.98745093599229
223,SPY,FAST,Sell,33.82125113459482
69,SPY,CAT,Sell,33.33198494418019
65,SPY,GS,Sell,32.84323408582838
341,SPY,ATO,Buy,32.74898028917744
132,SPY,GD,Sell,32.70980734866565
165,SPY,SYY,Sell,32.09675506631733
50,SPY,UNP,Sell,30.856922743142434
258,SPY,DFS,Sell,30.122431793193986
100,SPY,CL,Buy,29.316652927629367
210,SPY,KR,Sell,28.614683111073067
446,SPY,WRK,Sell,28.074152856366368
445,SPY,HII,Sell,27.490565521252854
135,SPY,ITW,Sell,27.138384346781972
297,SPY,CTRA,Buy,26.601877821866758
58,SPY,LOW,Sell,25.771211576224953
56,SPY,COP,Buy,25.355134869256684
414,SPY,CE,Sell,24.551752945849422
143,SPY,EMR,Buy,22.39725238094134
29,SPY,MCD,Buy,21.398756863531624
377,SPY,HRL,Sell,20.98019630120298
75,SPY,SBUX,Buy,19.799036863927235
475,SPY,BBWI,Sell,18.911761356459785
161,SPY,ADM,Sell,17.97741945856278
383,SPY,CHRW,Sell,17.93727221928996
136,SPY,ETN,Sell,17.276965693164414
244,SPY,TSN,Sell,17.046306721641
44,SPY,QCOM,Buy,15.706685949967316
241,SPY,DD,Sell,14.209786187065191
59,SPY,AMT,Buy,14.067014882226593
436,SPY,RHI,Sell,13.79277519860962
247,SPY,WY,Sell,13.130564267738983
245,SPY,KDP,Sell,12.71417053656278
160,SPY,COF,Sell,12.562055511640885
375,SPY,FMC,Sell,12.209545024508172
393,SPY,NLOK,Sell,11.151266570670828
208,SPY,HSY,Buy,10.675757093401407
300,SPY,CF,Sell,10.36001739715585
131,SPY,SLB,Sell,10.115966518092245
92,SPY,CME,Sell,9.443683791293678
390,SPY,MAS,Sell,8.120344154837618
42,SPY,NEE,Sell,7.5995720434611
128,SPY,NSC,Sell,6.992227717838548
268,SPY,TSCO,Sell,6.770920971593411
57,SPY,HON,Sell,6.107698437565063
129,SPY,FDX,Buy,5.0319110347784655
261,SPY,AMP,Sell,4.547759318597153
350,SPY,DGX,Buy,4.3342577631012835
103,SPY,TJX,Buy,4.15638044904535
153,SPY,LHX,Sell,3.922432999545008
392,SPY,LKQ,Sell,3.542092806127362
272,SPY,DRE,Sell,3.41496000620554
149,SPY,FCX,Sell,2.5193888725802713
335,SPY,SWKS,Sell,2.1037474401495952
