,Ticker,Technical Action,Score
129,NEM,Sell,-0.6402786622528578
510,XRAY,Sell,-0.7785619481946933
267,CARR,Sell,-0.983079738828593
81,TER,Sell,-1.2924808023123822
32,INTC,Sell,-1.3484147927927457
106,T,Sell,-1.4074847176579908
224,PEG,Sell,-1.4763213994039392
494,HOLX,Sell,-1.7330617276094236
403,MET,Sell,-1.7502137655104106
237,EVRG,Sell,-1.7943957112529518
439,MKTX,Sell,-1.8398155601266306
399,AON,Buy,-2.296339606356147
442,GL,Buy,-2.5879324309627165
416,AMP,Sell,-2.620636437418718
441,AIZ,Sell,-2.9257686986994225
392,CB,Sell,-3.300876792441998
445,LNC,Sell,-4.272146925780005
394,CME,Sell,-4.913899086580316
406,AJG,Sell,-5.476795986927443
411,BK,Sell,-6.020475584977062
400,ICE,Sell,-6.441002872684583
405,TRV,Sell,-7.340303447830693
393,MMC,Sell,-8.113075917912633
424,CFG,Sell,-8.65138400893781
425,RJF,Sell,-9.610552652438939
409,MSCI,Sell,-11.626183432466858
423,NDAQ,Sell,-12.262187164071996
404,AIG,Sell,-13.63516307893091
434,WRB,Sell,-13.919007506655696
422,NTRS,Sell,-14.367115234935738
388,SCHW,Sell,-16.336242235599798
433,BRO,Sell,-20.16344291963656
396,PNC,Sell,-23.23421447326288
385,SPGI,Sell,-23.637421063143634
391,AXP,Sell,-26.405397913356182
430,FDS,Sell,-28.81264205915858
413,FRC,Buy,-29.179611356101127
435,CBOE,Sell,-31.41295739548946
436,SBNY,Sell,-63.35479455739067
427,HBAN,Sell,-81.09436411206926
20,APA,Sell,
21,SSIXX,Sell,
85,SSIXX,Sell,
99,META,Sell,
111,WBD,Sell,
115,PARA,Sell,
124,NWS,Sell,
125,SSIXX,Sell,
140,BALL,Sell,
154,SSIXX,Sell,
161,SBUX,Buy,
212,SSIXX,Sell,
234,CEG,Sell,
243,SSIXX,Sell,
315,SSIXX,Sell,
349,SSIXX,Sell,
381,SSIXX,Sell,
420,WTW,Sell,
443,SSIXX,Sell,
461,ELV,Buy,
509,SSIXX,Sell,
