,index,ETF,weight
0,4,XLK,27.44
1,8,XLV,16.24
2,3,XLI,14.07
3,1,XLE,13.53
4,9,XLY,9.52
5,5,XLP,6.77
6,2,XLF,3.94
7,7,XLU,3.8
8,0,XLB,2.56
9,6,XLRE,2.13
