,Date,ConsumerSentiment
291,1977-02-01,87.1
292,1977-03-01,
293,1977-04-01,
294,1977-05-01,90.2
295,1977-06-01,
296,1977-07-01,
297,1977-08-01,89.0
298,1977-09-01,
299,1977-10-01,
300,1977-11-01,84.4
301,1977-12-01,
302,1978-01-01,83.7
303,1978-02-01,84.3
304,1978-03-01,78.8
305,1978-04-01,81.6
306,1978-05-01,82.9
307,1978-06-01,80.0
308,1978-07-01,82.4
309,1978-08-01,78.4
310,1978-09-01,80.4
311,1978-10-01,79.3
312,1978-11-01,75.0
313,1978-12-01,66.1
314,1979-01-01,72.1
315,1979-02-01,73.9
316,1979-03-01,68.4
317,1979-04-01,66.0
318,1979-05-01,68.1
319,1979-06-01,65.8
320,1979-07-01,60.4
321,1979-08-01,64.5
322,1979-09-01,66.7
323,1979-10-01,62.1
324,1979-11-01,63.3
325,1979-12-01,61.0
326,1980-01-01,67.0
327,1980-02-01,66.9
328,1980-03-01,56.5
329,1980-04-01,52.7
330,1980-05-01,51.7
331,1980-06-01,58.7
332,1980-07-01,62.3
333,1980-08-01,67.3
334,1980-09-01,73.7
335,1980-10-01,75.0
336,1980-11-01,76.7
337,1980-12-01,64.5
338,1981-01-01,71.4
339,1981-02-01,66.9
340,1981-03-01,66.5
341,1981-04-01,72.4
342,1981-05-01,76.3
343,1981-06-01,73.1
344,1981-07-01,74.1
345,1981-08-01,77.2
346,1981-09-01,73.1
347,1981-10-01,70.3
348,1981-11-01,62.5
349,1981-12-01,64.3
350,1982-01-01,71.0
351,1982-02-01,66.5
352,1982-03-01,62.0
353,1982-04-01,65.5
354,1982-05-01,67.5
355,1982-06-01,65.7
356,1982-07-01,65.4
357,1982-08-01,65.4
358,1982-09-01,69.3
359,1982-10-01,73.4
360,1982-11-01,72.1
361,1982-12-01,71.9
362,1983-01-01,70.4
363,1983-02-01,74.6
364,1983-03-01,80.8
365,1983-04-01,89.1
366,1983-05-01,93.3
367,1983-06-01,92.2
368,1983-07-01,92.8
369,1983-08-01,90.9
370,1983-09-01,89.9
371,1983-10-01,89.3
372,1983-11-01,91.1
373,1983-12-01,94.2
374,1984-01-01,100.1
375,1984-02-01,97.4
376,1984-03-01,101.0
377,1984-04-01,96.1
378,1984-05-01,98.1
379,1984-06-01,95.5
380,1984-07-01,96.6
381,1984-08-01,99.1
382,1984-09-01,100.9
383,1984-10-01,96.3
384,1984-11-01,95.7
385,1984-12-01,92.9
386,1985-01-01,96.0
387,1985-02-01,93.7
388,1985-03-01,93.7
389,1985-04-01,94.6
390,1985-05-01,91.8
391,1985-06-01,96.5
392,1985-07-01,94.0
393,1985-08-01,92.4
394,1985-09-01,92.1
395,1985-10-01,88.4
396,1985-11-01,90.9
397,1985-12-01,93.9
398,1986-01-01,95.6
399,1986-02-01,95.9
400,1986-03-01,95.1
401,1986-04-01,96.2
402,1986-05-01,94.8
403,1986-06-01,99.3
404,1986-07-01,97.7
405,1986-08-01,94.9
406,1986-09-01,91.9
407,1986-10-01,95.6
408,1986-11-01,91.4
409,1986-12-01,89.1
410,1987-01-01,90.4
411,1987-02-01,90.2
412,1987-03-01,90.8
413,1987-04-01,92.8
414,1987-05-01,91.1
415,1987-06-01,91.5
416,1987-07-01,93.7
417,1987-08-01,94.4
418,1987-09-01,93.6
419,1987-10-01,89.3
420,1987-11-01,83.1
421,1987-12-01,86.8
422,1988-01-01,90.8
423,1988-02-01,91.6
424,1988-03-01,94.6
425,1988-04-01,91.2
426,1988-05-01,94.8
427,1988-06-01,94.7
428,1988-07-01,93.4
429,1988-08-01,97.4
430,1988-09-01,97.3
431,1988-10-01,94.1
432,1988-11-01,93.0
433,1988-12-01,91.9
434,1989-01-01,97.9
435,1989-02-01,95.4
436,1989-03-01,94.3
437,1989-04-01,91.5
438,1989-05-01,90.7
439,1989-06-01,90.6
440,1989-07-01,92.0
441,1989-08-01,89.6
442,1989-09-01,95.8
443,1989-10-01,93.9
444,1989-11-01,90.9
445,1989-12-01,90.5
446,1990-01-01,93.0
447,1990-02-01,89.5
448,1990-03-01,91.3
449,1990-04-01,93.9
450,1990-05-01,90.6
451,1990-06-01,88.3
452,1990-07-01,88.2
453,1990-08-01,76.4
454,1990-09-01,72.8
455,1990-10-01,63.9
456,1990-11-01,66.0
457,1990-12-01,65.5
458,1991-01-01,66.8
459,1991-02-01,70.4
460,1991-03-01,87.7
461,1991-04-01,81.8
462,1991-05-01,78.3
463,1991-06-01,82.1
464,1991-07-01,82.9
465,1991-08-01,82.0
466,1991-09-01,83.0
467,1991-10-01,78.3
468,1991-11-01,69.1
469,1991-12-01,68.2
470,1992-01-01,67.5
471,1992-02-01,68.8
472,1992-03-01,76.0
473,1992-04-01,77.2
474,1992-05-01,79.2
475,1992-06-01,80.4
476,1992-07-01,76.6
477,1992-08-01,76.1
478,1992-09-01,75.6
479,1992-10-01,73.3
480,1992-11-01,85.3
481,1992-12-01,91.0
482,1993-01-01,89.3
483,1993-02-01,86.6
484,1993-03-01,85.9
485,1993-04-01,85.6
486,1993-05-01,80.3
487,1993-06-01,81.5
488,1993-07-01,77.0
489,1993-08-01,77.3
490,1993-09-01,77.9
491,1993-10-01,82.7
492,1993-11-01,81.2
493,1993-12-01,88.2
494,1994-01-01,94.3
495,1994-02-01,93.2
496,1994-03-01,91.5
497,1994-04-01,92.6
498,1994-05-01,92.8
499,1994-06-01,91.2
500,1994-07-01,89.0
501,1994-08-01,91.7
502,1994-09-01,91.5
503,1994-10-01,92.7
504,1994-11-01,91.6
505,1994-12-01,95.1
506,1995-01-01,97.6
507,1995-02-01,95.1
508,1995-03-01,90.3
509,1995-04-01,92.5
510,1995-05-01,89.8
511,1995-06-01,92.7
512,1995-07-01,94.4
513,1995-08-01,96.2
514,1995-09-01,88.9
515,1995-10-01,90.2
516,1995-11-01,88.2
517,1995-12-01,91.0
518,1996-01-01,89.3
519,1996-02-01,88.5
520,1996-03-01,93.7
521,1996-04-01,92.7
522,1996-05-01,89.4
523,1996-06-01,92.4
524,1996-07-01,94.7
525,1996-08-01,95.3
526,1996-09-01,94.7
527,1996-10-01,96.5
528,1996-11-01,99.2
529,1996-12-01,96.9
530,1997-01-01,97.4
531,1997-02-01,99.7
532,1997-03-01,100.0
533,1997-04-01,101.4
534,1997-05-01,103.2
535,1997-06-01,104.5
536,1997-07-01,107.1
537,1997-08-01,104.4
538,1997-09-01,106.0
539,1997-10-01,105.6
540,1997-11-01,107.2
541,1997-12-01,102.1
542,1998-01-01,106.6
543,1998-02-01,110.4
544,1998-03-01,106.5
545,1998-04-01,108.7
546,1998-05-01,106.5
547,1998-06-01,105.6
548,1998-07-01,105.2
549,1998-08-01,104.4
550,1998-09-01,100.9
551,1998-10-01,97.4
552,1998-11-01,102.7
553,1998-12-01,100.5
554,1999-01-01,103.9
555,1999-02-01,108.1
556,1999-03-01,105.7
557,1999-04-01,104.6
558,1999-05-01,106.8
559,1999-06-01,107.3
560,1999-07-01,106.0
561,1999-08-01,104.5
562,1999-09-01,107.2
563,1999-10-01,103.2
564,1999-11-01,107.2
565,1999-12-01,105.4
566,2000-01-01,112.0
567,2000-02-01,111.3
568,2000-03-01,107.1
569,2000-04-01,109.2
570,2000-05-01,110.7
571,2000-06-01,106.4
572,2000-07-01,108.3
573,2000-08-01,107.3
574,2000-09-01,106.8
575,2000-10-01,105.8
576,2000-11-01,107.6
577,2000-12-01,98.4
578,2001-01-01,94.7
579,2001-02-01,90.6
580,2001-03-01,91.5
581,2001-04-01,88.4
582,2001-05-01,92.0
583,2001-06-01,92.6
584,2001-07-01,92.4
585,2001-08-01,91.5
586,2001-09-01,81.8
587,2001-10-01,82.7
588,2001-11-01,83.9
589,2001-12-01,88.8
590,2002-01-01,93.0
591,2002-02-01,90.7
592,2002-03-01,95.7
593,2002-04-01,93.0
594,2002-05-01,96.9
595,2002-06-01,92.4
596,2002-07-01,88.1
597,2002-08-01,87.6
598,2002-09-01,86.1
599,2002-10-01,80.6
600,2002-11-01,84.2
601,2002-12-01,86.7
602,2003-01-01,82.4
603,2003-02-01,79.9
604,2003-03-01,77.6
605,2003-04-01,86.0
606,2003-05-01,92.1
607,2003-06-01,89.7
608,2003-07-01,90.9
609,2003-08-01,89.3
610,2003-09-01,87.7
611,2003-10-01,89.6
612,2003-11-01,93.7
613,2003-12-01,92.6
614,2004-01-01,103.8
615,2004-02-01,94.4
616,2004-03-01,95.8
617,2004-04-01,94.2
618,2004-05-01,90.2
619,2004-06-01,95.6
620,2004-07-01,96.7
621,2004-08-01,95.9
622,2004-09-01,94.2
623,2004-10-01,91.7
624,2004-11-01,92.8
625,2004-12-01,97.1
626,2005-01-01,95.5
627,2005-02-01,94.1
628,2005-03-01,92.6
629,2005-04-01,87.7
630,2005-05-01,86.9
631,2005-06-01,96.0
632,2005-07-01,96.5
633,2005-08-01,89.1
634,2005-09-01,76.9
635,2005-10-01,74.2
636,2005-11-01,81.6
637,2005-12-01,91.5
638,2006-01-01,91.2
639,2006-02-01,86.7
640,2006-03-01,88.9
641,2006-04-01,87.4
642,2006-05-01,79.1
643,2006-06-01,84.9
644,2006-07-01,84.7
645,2006-08-01,82.0
646,2006-09-01,85.4
647,2006-10-01,93.6
648,2006-11-01,92.1
649,2006-12-01,91.7
650,2007-01-01,96.9
