,Date,Imports
212,2000-01-01,1863.488
213,2000-04-01,1922.854
214,2000-07-01,1992.04
215,2000-10-01,1994.953
216,2001-01-01,1969.218
217,2001-04-01,1906.189
218,2001-07-01,1862.95
219,2001-10-01,1843.656
220,2002-01-01,1896.04
221,2002-04-01,1959.578
222,2002-07-01,1984.492
223,2002-10-01,2020.124
224,2003-01-01,2011.331
225,2003-04-01,2040.651
226,2003-07-01,2072.609
227,2003-10-01,2138.44
228,2004-01-01,2198.333
229,2004-04-01,2284.933
230,2004-07-01,2316.604
231,2004-10-01,2370.563
232,2005-01-01,2390.985
233,2005-04-01,2422.995
234,2005-07-01,2436.601
235,2005-10-01,2515.132
236,2006-01-01,2566.893
237,2006-04-01,2592.455
238,2006-07-01,2618.357
239,2006-10-01,2614.992
240,2007-01-01,2653.058
241,2007-04-01,2667.163
242,2007-07-01,2682.099
243,2007-10-01,2656.767
244,2008-01-01,2666.73
245,2008-04-01,2641.498
246,2008-07-01,2608.161
247,2008-10-01,2513.844
248,2009-01-01,2274.895
249,2009-04-01,2182.501
250,2009-07-01,2272.535
251,2009-10-01,2385.074
252,2010-01-01,2448.044
253,2010-04-01,2559.69
254,2010-07-01,2649.148
255,2010-10-01,2658.885
256,2011-01-01,2671.872
257,2011-04-01,2681.865
258,2011-07-01,2711.619
259,2011-10-01,2747.221
260,2012-01-01,2760.748
261,2012-04-01,2771.011
262,2012-07-01,2785.883
263,2012-10-01,2759.627
264,2013-01-01,2757.265
265,2013-04-01,2797.3
266,2013-07-01,2817.399
267,2013-10-01,2839.671
268,2014-01-01,2876.337
269,2014-04-01,2941.839
270,2014-07-01,2947.352
271,2014-10-01,3024.682
272,2015-01-01,3068.49
273,2015-04-01,3091.083
274,2015-07-01,3117.762
275,2015-10-01,3124.356
276,2016-01-01,3119.978
277,2016-04-01,3123.245
278,2016-07-01,3145.977
279,2016-10-01,3192.525
280,2017-01-01,3241.836
281,2017-04-01,3273.403
282,2017-07-01,3270.757
283,2017-10-01,3362.957
284,2018-01-01,3391.258
285,2018-04-01,3395.283
286,2018-07-01,3441.068
287,2018-10-01,3474.268
288,2019-01-01,3485.931
289,2019-04-01,3491.751
290,2019-07-01,3476.382
291,2019-10-01,3404.66
292,2020-01-01,3295.493
293,2020-04-01,2718.619
294,2020-07-01,3184.18
295,2020-10-01,3419.001
296,2021-01-01,3482.035
297,2021-04-01,3549.002
298,2021-07-01,3606.283
299,2021-10-01,3763.316
300,2022-01-01,3925.633
301,2022-04-01,3947.472
302,2022-07-01,3872.908
303,2022-10-01,3818.173
304,2023-01-01,3855.618
