,Date,GDP,UnemploymentRate,RealGDP,MarketPrice,PersonalConsumption,Imports,Exports,FedRateHike,CPI,ConsumerSentiment,Recession
0,1946-01-01,,,,,,,,,,,
1,1946-04-01,,,,,,,,,,,
2,1946-07-01,,,,,,,,,,,
3,1946-10-01,,,,,,,,,,,
4,1947-01-01,243.164,,2034.45,,,60.396,,,,,
5,1947-04-01,245.968,,2029.024,,,61.559,,,,,
6,1947-07-01,249.585,,2024.834,,,54.594,,,,,
7,1947-10-01,259.745,,2056.508,,,57.538,,,,,
8,1948-01-01,265.742,3.4,2087.442,,,64.883,,,,,
9,1948-04-01,272.567,3.9,2121.899,,,67.455,,,,,
10,1948-07-01,279.196,3.6,2134.056,,,70.977,,,,,
11,1948-10-01,280.366,3.7,2136.44,,,69.826,,,,,
12,1949-01-01,275.034,4.3,2107.001,,,67.731,,,,,
13,1949-04-01,271.351,5.3,2099.814,,,66.743,,,,,
14,1949-07-01,272.889,6.7,2121.493,,,64.023,,,,,
15,1949-10-01,270.627,7.9,2103.688,,,64.987,,,,,
16,1950-01-01,280.828,6.5,2186.365,,,66.803,,,,,
17,1950-04-01,290.383,5.8,2253.045,,,70.49,,,,,
18,1950-07-01,308.153,5.0,2340.112,,,86.986,,,,,
19,1950-10-01,319.945,4.2,2384.92,,,87.149,,,,,
20,1951-01-01,336.0,3.7,2417.311,,,87.154,,,,,
21,1951-04-01,344.09,3.1,2459.196,,,84.266,,,,,
22,1951-07-01,351.385,3.1,2509.88,,,77.13,,,,,
23,1951-10-01,356.178,3.5,2515.408,,,75.113,,,,,
24,1952-01-01,359.82,3.2,2542.286,,,83.828,,,,,
25,1952-04-01,361.03,2.9,2547.762,,,83.394,,,,,
