,Date,GDP
206,1997-07-01,8662.823
207,1997-10-01,8765.907
208,1998-01-01,8866.48
209,1998-04-01,8969.699
210,1998-07-01,9121.097
211,1998-10-01,9293.991
212,1999-01-01,9411.682
213,1999-04-01,9526.21
214,1999-07-01,9686.626
215,1999-10-01,9900.169
216,2000-01-01,10002.179
217,2000-04-01,10247.72
218,2000-07-01,10318.165
219,2000-10-01,10435.744
220,2001-01-01,10470.231
221,2001-04-01,10599.0
222,2001-07-01,10598.02
223,2001-10-01,10660.465
224,2002-01-01,10783.5
225,2002-04-01,10887.46
226,2002-07-01,10984.04
227,2002-10-01,11061.433
228,2003-01-01,11174.129
229,2003-04-01,11312.766
230,2003-07-01,11566.669
231,2003-10-01,11772.234
232,2004-01-01,11923.447
233,2004-04-01,12112.815
234,2004-07-01,12305.307
235,2004-10-01,12527.214
236,2005-01-01,12767.286
237,2005-04-01,12922.656
238,2005-07-01,13142.642
239,2005-10-01,13324.204
240,2006-01-01,13599.16
241,2006-04-01,13753.424
242,2006-07-01,13870.188
243,2006-10-01,14039.56
244,2007-01-01,14215.651
245,2007-04-01,14402.082
246,2007-07-01,14564.117
247,2007-10-01,14715.058
248,2008-01-01,14706.538
249,2008-04-01,14865.701
250,2008-07-01,14898.999
251,2008-10-01,14608.208
252,2009-01-01,14430.901
253,2009-04-01,14381.236
254,2009-07-01,14448.882
255,2009-10-01,14651.248
256,2010-01-01,14764.611
257,2010-04-01,14980.193
258,2010-07-01,15141.605
259,2010-10-01,15309.471
260,2011-01-01,15351.444
261,2011-04-01,15557.535
262,2011-07-01,15647.681
263,2011-10-01,15842.267
264,2012-01-01,16068.824
265,2012-04-01,16207.13
266,2012-07-01,16319.54
267,2012-10-01,16420.386
268,2013-01-01,16629.05
269,2013-04-01,16699.551
270,2013-07-01,16911.068
271,2013-10-01,17133.114
272,2014-01-01,17144.281
273,2014-04-01,17462.703
274,2014-07-01,17743.227
275,2014-10-01,17852.54
276,2015-01-01,17991.348
277,2015-04-01,18193.707
278,2015-07-01,18306.96
279,2015-10-01,18332.079
280,2016-01-01,18425.306
281,2016-04-01,18611.617
282,2016-07-01,18775.459
283,2016-10-01,18968.041
284,2017-01-01,19148.194
285,2017-04-01,19304.506
286,2017-07-01,19561.896
287,2017-10-01,19894.75
288,2018-01-01,20155.486
289,2018-04-01,20470.197
290,2018-07-01,20687.278
291,2018-10-01,20819.269
292,2019-01-01,21013.085
293,2019-04-01,21272.448
294,2019-07-01,21531.839
295,2019-10-01,21706.532
296,2020-01-01,21538.032
297,2020-04-01,19636.731
298,2020-07-01,21362.428
299,2020-10-01,21704.706
300,2021-01-01,22313.85
301,2021-04-01,23046.934
302,2021-07-01,23550.42
303,2021-10-01,24349.121
304,2022-01-01,24740.48
305,2022-04-01,25248.476
306,2022-07-01,25723.941
307,2022-10-01,26137.992
308,2023-01-01,26486.287
