Unnamed: 0,ETF,Ticker,Technical Action,Score,Sector
5,XLP,MDLZ,Sell,2.130330420270684,XLP
26,XLP,CAG,Sell,2.060017321248668,XLP
11,XLP,GIS,Sell,1.0702400704305854,XLP
14,XLP,ADM,Buy,0.6755415948579848,XLP
29,XLP,TAP,Sell,0.002707704551911,XLP
12,XLP,SYY,Sell,-0.690838686368036,XLP
8,XLP,CL,Buy,-2.6954508068632963,XLP
25,XLP,CLX,Sell,-5.041426577504131,XLP
17,XLE,FANG,Buy,19.643254500448368,XLE
6,XLE,MPC,Sell,15.03339476565882,XLE
10,XLE,KMI,Buy,14.372539901897582,XLE
0,XLE,XOM,Buy,13.248869382171184,XLE
1,XLE,CVX,Buy,11.068323857431542,XLE
7,XLE,VLO,Sell,10.805136100046742,XLE
2,XLE,OXY,Sell,10.566841400817864,XLE
18,XLE,MRO,Buy,9.81980812938168,XLE
12,XLE,HES,Sell,9.01999294088877,XLE
9,XLE,PSX,Sell,8.472648223907601,XLE
13,XLE,BKR,Buy,7.706607296913111,XLE
15,XLE,OKE,Buy,5.618031416818496,XLE
16,XLE,CTRA,Sell,5.487579968383199,XLE
14,XLE,HAL,Sell,5.3395357587263295,XLE
5,XLE,SLB,Sell,5.252813312545716,XLE
11,XLE,DVN,Sell,5.10149441833451,XLE
4,XLE,EOG,Buy,3.635395906063005,XLE
3,XLE,COP,Sell,2.81229377107858,XLE
19,XLE,APA,Sell,0.4397383464727341,XLE
8,XLE,WMB,Buy,-0.3144830047371396,XLE
8,XLF,BLK,Buy,26.931407994761532,XLF
33,XLF,AMP,Buy,22.404172705394025,XLF
59,XLF,LNC,Buy,22.156636288339563,XLF
10,XLF,CB,Buy,18.30480338411125,XLF
45,XLF,KEY,Buy,14.582736240991192,XLF
15,XLF,TFC,Buy,12.780660496998555,XLF
52,XLF,SBNY,Sell,12.62475782018457,XLF
13,XLF,PGR,Buy,12.47312109018337,XLF
0,XLF,JPM,Buy,12.411777776334617,XLF
23,XLF,TRV,Sell,12.06114059542929,XLF
18,XLF,ICE,Buy,11.370121911696486,XLF
43,XLF,HBAN,Buy,11.138399292413926,XLF
1,XLF,BAC,Buy,11.091337766385532,XLF
49,XLF,BRO,Buy,10.892029239970668,XLF
17,XLF,AON,Sell,10.571626144805151,XLF
61,XLF,IVZ,Sell,10.20459668491822,XLF
25,XLF,PRU,Buy,10.048213439914369,XLF
6,XLF,SCHW,Buy,10.030548025419288,XLF
55,XLF,CMA,Sell,9.98461407027906,XLF
60,XLF,BEN,Sell,9.773903421575968,XLF
39,XLF,NDAQ,Buy,9.627264707964194,XLF
53,XLF,L,Buy,9.385053607772695,XLF
26,XLF,ALL,Buy,9.091720207338025,XLF
5,XLF,GS,Buy,8.97839409186382,XLF
16,XLF,USB,Sell,8.572034758683316,XLF
56,XLF,AIZ,Sell,8.132083160783779,XLF
35,XLF,FITB,Buy,7.935027751467795,XLF
21,XLF,MET,Buy,7.775174208926972,XLF
40,XLF,CFG,Buy,7.693777345729167,XLF
58,XLF,ZION,Buy,7.656998344623209,XLF
47,XLF,SYF,Buy,7.586531509037124,XLF
7,XLF,C,Buy,7.568299684402257,XLF
9,XLF,AXP,Buy,7.557312217907022,XLF
2,XLF,WFC,Buy,7.333001504819474,XLF
36,XLF,WTW,Buy,7.309790398853896,XLF
22,XLF,AIG,Buy,7.0572517748166845,XLF
14,XLF,PNC,Buy,6.788323394058217,XLF
31,XLF,MTB,Buy,6.7831931559528815,XLF
42,XLF,RF,Buy,6.525443667533272,XLF
48,XLF,PFG,Sell,6.441960458096077,XLF
24,XLF,AJG,Buy,6.340895971852572,XLF
50,XLF,WRB,Sell,6.251293860815168,XLF
46,XLF,FDS,Sell,6.203396503683909,XLF
28,XLF,AFL,Buy,6.114328457961321,XLF
44,XLF,CINF,Buy,5.997913939164948,XLF
29,XLF,BK,Buy,5.951627767114316,XLF
51,XLF,CBOE,Sell,5.78737319542758,XLF
38,XLF,NTRS,Buy,5.768912829265626,XLF
3,XLF,SPGI,Buy,5.27062534884571,XLF
37,XLF,HIG,Buy,4.898191721406081,XLF
41,XLF,RJF,Buy,3.959610360266121,XLF
