,Unnamed: 0,ETF,Ticker,Technical Action,Score,Sector
97,28,XLP,HRL,Sell,6.111073276258436,XLP
98,16,XLP,HSY,Sell,5.622418929529712,XLP
99,31,XLP,CPB,Buy,5.60552889399525,XLP
100,17,XLP,KR,Sell,5.007636493513898,XLP
101,9,XLP,EL,Sell,4.653699931709565,XLP
102,18,XLP,KHC,Sell,4.384183118829437,XLP
103,23,XLP,MKC,Sell,3.001772087476742,XLP
104,10,XLP,KMB,Buy,2.88201556422296,XLP
105,26,XLP,CAG,Sell,2.5007947365378635,XLP
106,5,XLP,MDLZ,Sell,1.8140023582221927,XLP
107,11,XLP,GIS,Sell,0.4812756384784002,XLP
108,14,XLP,ADM,Sell,0.3991743105822508,XLP
109,12,XLP,SYY,Sell,0.3934751929209291,XLP
110,29,XLP,TAP,Sell,0.1750296039585337,XLP
111,8,XLP,CL,Buy,-3.044818904874949,XLP
112,25,XLP,CLX,Sell,-4.901382553170472,XLP
113,18,XLE,FANG,Buy,17.887081024940187,XLE
114,7,XLE,MPC,Sell,14.598662383580358,XLE
115,0,XLE,XOM,Buy,13.856258691590094,XLE
116,11,XLE,KMI,Buy,13.688039589867564,XLE
117,5,XLE,PXD,Buy,13.155736062220656,XLE
118,2,XLE,OXY,Sell,10.787143692390153,XLE
119,8,XLE,VLO,Buy,10.350882613254292,XLE
120,19,XLE,MRO,Buy,9.89106751882481,XLE
121,1,XLE,CVX,Buy,9.83923306520984,XLE
122,13,XLE,HES,Sell,8.439375325230536,XLE
123,14,XLE,BKR,Sell,8.124351243527283,XLE
124,10,XLE,PSX,Sell,7.59666362198811,XLE
125,16,XLE,OKE,Buy,6.906634507180893,XLE
126,15,XLE,HAL,Sell,6.332596985436963,XLE
127,17,XLE,CTRA,Buy,6.144584984066836,XLE
128,6,XLE,SLB,Sell,6.120993790385537,XLE
129,12,XLE,DVN,Sell,5.431762605410043,XLE
130,4,XLE,EOG,Sell,2.0937219660060484,XLE
131,3,XLE,COP,Sell,2.0266942954598863,XLE
132,20,XLE,APA,Sell,0.0977175913908585,XLE
133,9,XLE,WMB,Buy,-0.0607347502250252,XLE
134,8,XLF,BLK,Buy,26.274300402318765,XLF
135,33,XLF,AMP,Buy,22.492905749210863,XLF
136,59,XLF,LNC,Buy,22.20987330710131,XLF
137,10,XLF,CB,Buy,18.367021547988443,XLF
138,45,XLF,KEY,Sell,14.006630055616377,XLF
139,52,XLF,SBNY,Sell,12.718645352285188,XLF
140,0,XLF,JPM,Buy,12.470111045927151,XLF
141,13,XLF,PGR,Buy,12.45270395971228,XLF
142,23,XLF,TRV,Buy,11.880074152453162,XLF
143,49,XLF,BRO,Buy,11.157742080749458,XLF
144,18,XLF,ICE,Buy,10.8894597426448,XLF
145,43,XLF,HBAN,Sell,10.776461017968304,XLF
146,17,XLF,AON,Sell,10.74195823253616,XLF
147,15,XLF,TFC,Buy,10.44728668192909,XLF
148,6,XLF,SCHW,Buy,10.27856229209749,XLF
149,1,XLF,BAC,Buy,10.205920470220136,XLF
150,55,XLF,CMA,Sell,10.093979054910086,XLF
151,61,XLF,IVZ,Sell,9.97066304576775,XLF
152,50,XLF,WRB,Buy,9.873560816246217,XLF
153,25,XLF,PRU,Buy,9.833050925634351,XLF
