,Unnamed: 0,ETF,Ticker,Technical Action,Score,weight,Dollar Amount
0,36,XLY,NVR,Buy,48.46003061250016,7.252847283846937,362.64236419234686
1,5,XLK,AVGO,Buy,32.54311097210397,4.8706162798227846,243.5308139911392
2,0,XLK,AAPL,Buy,32.513565966092,4.866194379673387,243.30971898366937
3,0,XLV,UNH,Buy,29.35065039660358,4.392811608196477,219.64058040982383
4,23,XLK,LRCX,Buy,28.237129467674126,4.226154733596619,211.30773667983092
5,6,XLI,BA,Buy,26.613571262044204,3.9831623216431495,199.15811608215748
6,0,XLY,AMZN,Buy,26.31186729454131,3.938007319189132,196.90036595945665
7,37,XLI,GWW,Buy,25.469311319509863,3.8119048438551695,190.5952421927585
8,41,XLI,URI,Buy,24.62331941197481,3.6852881242375934,184.2644062118797
9,8,XLF,BLK,Buy,24.58841554536459,3.680064181723732,184.00320908618664
10,8,XLY,BKNG,Buy,22.77245738204765,3.408275925176582,170.4137962588291
11,3,XLP,COST,Buy,22.67467269883328,3.393640825588546,169.6820412794273
12,4,XLP,WMT,Buy,21.899166812847145,3.277573508096366,163.8786754048183
13,59,XLF,LNC,Buy,21.647178602893,3.239859293288256,161.9929646644128
14,6,XLC,CHTR,Buy,21.617199437180933,3.235372413939265,161.7686206969632
15,3,XLRE,EQIX,Buy,20.765695878945397,3.1079307843844206,155.39653921922104
16,5,XLF,GS,Buy,19.69649164835016,2.9479066386763906,147.3953319338195
17,0,XLB,LIN,Buy,18.062096114609297,2.70329224083558,135.164612041779
18,8,XLB,NUE,Buy,17.58845992780169,2.632404730291312,131.62023651456556
19,16,XLB,MLM,Buy,17.403454466670052,2.604715594743813,130.23577973719068
20,13,XLP,STZ,Buy,17.217056368675703,2.5768180279931263,128.84090139965633
21,5,XLE,PXD,Buy,16.63802415824648,2.490156254535885,124.50781272679426
22,1,XLRE,PLD,Buy,16.534468318917742,2.4746574057215347,123.73287028607672
23,13,XLV,ELV,Buy,15.824778688354288,2.368440582406554,118.42202912032772
24,27,XLV,MCK,Buy,15.308120219483111,2.2911140738330693,114.55570369165346
25,29,XLRE,VNO,Buy,14.901741942897717,2.2302928250163894,111.51464125081948
26,7,XLE,MPC,Buy,14.450451363856883,2.1627497052731326,108.13748526365664
27,1,XLC,GOOGL,Buy,13.855991554116803,2.07377893571449,103.68894678572448
28,2,XLC,GOOG,Buy,13.771125653033073,2.061077346128461,103.05386730642304
29,20,XLU,CEG,Buy,13.66989875587429,2.045927062135018,102.29635310675089
30,14,XLE,BKR,Buy,13.142310638770455,1.9669647504368608,98.34823752184305
