,Unnamed: 0,ETF,Ticker,Technical Action,Score,weight,Dollar Amount
0,36,XLY,NVR,Buy,45.27054211087014,12.464656466786169,623.2328233393083
1,0,XLK,AAPL,Buy,31.86170813052685,8.772707985678492,438.6353992839246
2,5,XLK,AVGO,Buy,31.74578256560303,8.740789385301348,437.0394692650674
3,59,XLV,BIO,Buy,27.14758109179931,7.474734262840797,373.7367131420399
4,10,XLRE,VICI,Buy,23.9249300942993,6.5874191187498194,329.370955937491
5,38,XLI,GWW,Buy,23.83350313274689,6.562245890985905,328.1122945492953
6,1,XLI,UPS,Buy,22.41498652325491,6.171675745250842,308.5837872625421
7,23,XLK,LRCX,Buy,22.40846641397424,6.16988051774704,308.494025887352
8,42,XLI,URI,Buy,19.68623933314164,5.420350607014802,271.0175303507401
9,56,XLF,RE,Buy,19.377740238646624,5.335409383563634,266.77046917818166
10,8,XLB,NUE,Buy,18.98152186605967,5.2263157948889,261.315789744445
11,7,XLC,T,Buy,18.55440503899771,5.108714717626062,255.4357358813031
12,0,XLE,XOM,Buy,14.73221194833363,4.056323436157139,202.81617180785693
13,16,XLP,HSY,Buy,14.33723488482991,3.947571625834733,197.37858129173665
14,12,XLC,WBD,Buy,11.162243094567383,3.073378826164543,153.66894130822715
15,6,XLU,EXC,Buy,9.418776031183867,2.5933377885951274,129.66688942975637
16,8,XLC,NFLX,Buy,8.333381359623639,2.29448844681466,114.724422340733
