,Unnamed: 0.1,Unnamed: 0,ETF,Ticker,Technical Action,Score,weight,Dollar Amount
0,27,7,XLF,C,Buy,430.0358425675289,11.721002076409302,586.0501038204651
1,26,10,XLV,AMGN,Buy,317.69992854074746,8.659188731498451,432.95943657492256
2,25,43,XLK,GLW,Buy,316.7816011421989,8.634158917051018,431.7079458525509
3,24,30,XLY,DRI,Buy,267.0212072704773,7.2778959683369076,363.8947984168454
4,23,4,XLI,LMT,Buy,238.6056829282128,6.5034060611016935,325.1703030550847
5,22,11,XLE,KMI,Buy,236.1817024239698,6.4373383576428935,321.8669178821447
6,21,11,XLK,QCOM,Buy,201.7382881985548,5.498553052575398,274.92765262876986
7,20,12,XLE,DVN,Buy,176.090346741973,4.799496031482993,239.97480157414964
8,19,45,XLY,TPR,Buy,173.02222542766782,4.715871708261609,235.79358541308045
9,18,30,XLK,NXPI,Buy,154.1323195310948,4.201010842444034,210.05054212220168
10,17,16,XLK,ORCL,Buy,134.08579460565358,3.654625315895765,182.73126579478827
11,16,2,XLY,HD,Buy,124.93811948690336,3.405297449592733,170.26487247963664
12,15,49,XLV,DGX,Buy,120.66665241901082,3.2888748879914385,164.44374439957193
13,14,14,XLV,CI,Buy,99.94159891129613,2.7239954729471627,136.19977364735814
14,13,5,XLY,LOW,Buy,94.07480645577849,2.564090926055385,128.20454630276927
15,12,14,XLI,FDX,Buy,83.1257700982446,2.265665387581384,113.2832693790692
16,11,3,XLY,MCD,Buy,79.49230086157995,2.1666320134950645,108.33160067475322
17,10,1,XLU,DUK,Buy,66.06210828463956,1.8005803975621997,90.02901987810996
18,9,10,XLP,KMB,Buy,65.13035945398555,1.775184770273126,88.7592385136563
19,8,26,XLP,CAG,Buy,53.20987412443045,1.4502815425204727,72.51407712602364
20,7,5,XLRE,O,Buy,41.92530682807717,1.1427108155730616,57.13554077865308
21,6,10,XLI,NOC,Buy,39.33102403577763,1.0720013746720725,53.60006873360362
22,5,26,XLU,NI,Buy,37.99375102130526,1.0355528319511351,51.77764159755675
23,4,8,XLE,VLO,Buy,33.27628656921078,0.906974222530448,45.3487111265224
24,3,8,XLU,ED,Buy,30.21091157781701,0.823424752736061,41.17123763680305
25,2,1,XLP,KO,Buy,23.55551583350561,0.6420261351867576,32.10130675933788
26,1,2,XLRE,CCI,Buy,19.69214032580002,0.5367264651001756,26.83632325500878
27,0,0,XLRE,AMT,Buy,10.9126388089196,0.2974334915312693,14.871674576563466
