,Unnamed: 0,ETF,Ticker,Technical Action,Score,weight,Dollar Amount
0,9,XLI,GE,Buy,31.829155050949005,4.792899992008861,239.64499960044304
1,36,XLY,NVR,Buy,30.978017646538376,4.664733961453912,233.2366980726956
2,61,XLK,TRMB,Buy,30.693212215534707,4.62184737066014,231.092368533007
3,22,XLRE,IRM,Buy,30.16587135363142,4.542439293104941,227.12196465524707
4,2,XLK,NVDA,Buy,29.56214707532417,4.4515292427425415,222.57646213712707
5,29,XLV,HCA,Buy,27.40969567912386,4.127408660115252,206.37043300576264
6,0,XLC,META,Buy,26.33349449691704,3.965352060455527,198.2676030227763
7,3,XLB,NEM,Buy,25.31348318498088,3.811756647664888,190.5878323832444
8,48,XLV,CAH,Buy,24.826629029898804,3.738445142151555,186.92225710757776
9,33,XLF,AMP,Buy,24.37858574637957,3.670977857941164,183.5488928970582
10,55,XLI,MAS,Buy,24.137373613925718,3.634655636196354,181.73278180981768
11,45,XLF,KEY,Buy,22.96850097154561,3.458644376414076,172.93221882070378
12,0,XLY,AMZN,Buy,22.46638838782549,3.38303522516116,169.151761258058
13,38,XLF,NTRS,Buy,22.106615448335816,3.32885987190265,166.4429935951325
14,10,XLP,KMB,Buy,20.52590247215941,3.0908328429489456,154.54164214744728
15,0,XLU,NEE,Buy,19.415531957051225,2.9236309544768786,146.18154772384395
16,11,XLU,ES,Buy,18.087956016098623,2.7237218237884355,136.18609118942177
17,29,XLI,TDG,Buy,18.086389840354016,2.7234859858058758,136.17429929029376
18,0,XLK,AAPL,Buy,17.979506446343944,2.7073912632951225,135.36956316475613
19,9,XLRE,SPG,Buy,17.960489703129234,2.704527682774184,135.2263841387092
20,15,XLRE,EXR,Buy,17.49058953845835,2.6337691441987507,131.68845720993755
21,7,XLC,NFLX,Buy,16.32540661084824,2.458313489297071,122.91567446485354
22,9,XLB,IFF,Buy,16.176172855708646,2.435841561824567,121.79207809122832
23,41,XLY,HAS,Buy,16.168200910754514,2.4346411298669546,121.73205649334771
24,4,XLP,WMT,Buy,14.909346840855005,2.2450802806422816,112.25401403211409
25,27,XLU,NRG,Buy,14.439235206448393,2.1742898985167107,108.71449492583554
26,19,XLC,LUMN,Buy,14.420396017076644,2.1714530544206365,108.57265272103184
27,23,XLB,FMC,Buy,14.144376073750816,2.1298894005302644,106.49447002651324
28,4,XLV,LLY,Buy,13.8603044566417,2.087113308950302,104.35566544751508
29,3,XLP,COST,Buy,13.735358954158926,2.068298756792299,103.41493783961496
30,10,XLE,KMI,Buy,12.533695389133191,1.8873497720646175,94.36748860323088
31,0,XLE,XOM,Buy,8.826233791753207,1.3290725374973782,66.45362687486892
32,15,XLE,OKE,Buy,5.835434362715291,0.8787117743357266,43.93558871678633
