ETF,Ticker,Technical Action,Score,weight,Dollar Amount
XLI,NLSN,Buy,49.486528199270985,16.08893225297259,804.4466126486295
XLU,NRG,Buy,26.29880664935574,8.550200103181673,427.5100051590837
XLF,ALL,Buy,25.394687647767096,8.25625526820335,412.8127634101676
XLY,BKNG,Buy,24.76882208289672,8.052775472002647,402.63877360013237
XLRE,CCI,Buy,23.65075513040319,7.689272431730348,384.46362158651743
XLP,SJM,Buy,21.916741756245962,7.125514481481273,356.2757240740637
XLV,LLY,Buy,21.557165026040003,7.008609823536117,350.43049117680584
XLB,NEM,Buy,20.445259081824254,6.647109834364756,332.35549171823783
XLK,FTNT,Buy,17.757115511118414,5.773147538582059,288.65737692910295
XLC,CHTR,Buy,17.412875286510808,5.6612290457316865,283.0614522865843
XLE,PXD,Buy,14.525109294398932,4.7223660238110945,236.11830119055475
XLP,PM,Buy,13.96930807438429,4.541665366474078,227.0832683237039
XLP,COST,Buy,12.555786867674806,4.082105002059102,204.1052501029551
XLU,FE,Buy,9.0250239518884,2.934192480803826,146.7096240401913
XLU,ATO,Buy,8.817198710650686,2.8666248750654115,143.33124375327057
