,Unnamed: 0,ETF,Ticker,Technical Action,Score,weight,Dollar Amount
0,36,XLY,NVR,Buy,49.1463685514836,7.146468043534283,357.3234021767142
1,0,XLK,AAPL,Buy,32.51220416484347,4.727662184145284,236.38310920726417
2,5,XLK,AVGO,Buy,31.190665713561003,4.53549473436721,226.7747367183605
3,37,XLI,GWW,Buy,27.531185695430597,4.003362701496355,200.16813507481777
4,0,XLV,UNH,Buy,27.51107262091353,4.000438020619011,200.02190103095057
5,8,XLY,BKNG,Buy,25.38520109411938,3.691310950223589,184.56554751117943
6,6,XLI,BA,Buy,24.76390861024561,3.6009676143362035,180.0483807168102
7,4,XLRE,PSA,Buy,24.709723364201103,3.5930884334180355,179.65442167090177
8,41,XLI,URI,Buy,24.45212769162799,3.5556309508724424,177.7815475436221
9,3,XLP,COST,Buy,23.58724665336664,3.429866934454449,171.49334672272246
10,3,XLRE,EQIX,Buy,22.18218709957155,3.225554520406189,161.27772602030944
11,6,XLC,CHTR,Buy,21.924686119073936,3.188110807217549,159.40554036087747
12,8,XLF,BLK,Buy,21.170574243434867,3.0784539479348783,153.9226973967439
13,53,XLF,RE,Buy,20.94308977593916,3.0453749936749013,152.26874968374506
14,4,XLP,WMT,Buy,20.860418934642404,3.0333536675246195,151.667683376231
15,1,XLK,MSFT,Buy,20.30938553842384,2.9532268408014826,147.66134204007415
16,5,XLE,PXD,Buy,20.159616191957472,2.931448591869384,146.57242959346917
17,29,XLRE,VNO,Buy,19.800055397362424,2.8791641646773822,143.9582082338691
18,27,XLU,NRG,Buy,18.51117300480384,2.6917452952517613,134.58726476258806
19,59,XLF,LNC,Buy,18.26286590087629,2.655638481350713,132.78192406753567
20,0,XLY,AMZN,Buy,18.043719717843807,2.6237720130833053,131.18860065416527
21,0,XLB,LIN,Buy,17.57623507957943,2.555794172061342,127.7897086030671
22,20,XLU,CEG,Buy,17.41807427771635,2.5327957054488968,126.63978527244484
23,13,XLP,STZ,Buy,17.408554411059548,2.531411403315357,126.57057016576783
24,16,XLB,MLM,Buy,15.917297881219907,2.3145649210763533,115.72824605381766
25,27,XLV,MCK,Buy,14.876195650566189,2.1631762418980527,108.15881209490264
26,14,XLV,CI,Buy,13.560802994404048,1.9719024640172933,98.59512320086466
27,1,XLC,GOOGL,Buy,13.55380025395842,1.9708841820508565,98.54420910254282
28,18,XLE,FANG,Buy,13.278119698898127,1.9307969419346644,96.53984709673324
29,2,XLC,GOOG,Buy,13.252359565855947,1.9270511114082387,96.35255557041194
30,7,XLE,MPC,Buy,13.214083824889252,1.921485362244604,96.0742681122302
31,10,XLB,DD,Buy,13.17856246436603,1.9163201328426365,95.81600664213182
32,22,XLU,ATO,Buy,11.509946476472756,1.6736834704426902,83.6841735221345
