Beta,Dividend_Yield,Forward_PE,Trailing_PE,Market_Cap,Trailing_EPS,Forward_EPS,PEG_Ratio,Price_To_Book,EV_to_EBITDA,Free_Cash_Flow,Debt_to_Equity,Earnings_Growth,Ebitda_Margins,Quick_Ratio,Target_Mean_Price,Return_on_Equity,Revenue_Growth,Current_Ratio,Current_Price,ETF,Ticker,date
1.275,0.004781019824664382,32.5562707943347,32.5562707943347,3155217621600,6.488826725103944,10.87333,17.119172392687645,47.42095051595904,23.225567249002637,6.568324756393889,1.4699383196598599,-0.033599670086086914,0.049055213868137715,0.7775072455748386,,1.5130553784426855,0.020219940775141214,0.8208700223419635,211.252,XLK,AAPL,2025-05-18
0.985,0.007132322187245472,34.94637739949293,34.94637739949293,3376379945800,12.999058380414313,24.63,8.3804101186861,10.491263129444437,22.711405591022377,9.33077750874361,0.18815996719386377,0.2180041735188845,0.09368552109720735,1.3641665061380313,,0.3273582173230374,0.15669962013071279,1.3715916852004273,454.27,XLK,MSFT,2025-05-18
2.114,0.0002954209748892171,45.49685236004391,45.49685236004391,3302081040000,2.9760300543100984,6.96,2.9231727641328185,41.799268849193844,38.35473768531525,2.4849115929601044,0.1294641168832806,1.4489247311827957,0.1301102288679184,3.8813099130049316,,1.1544203544203544,1.1420340763599357,4.439851498864077,135.4,XLK,NVDA,2025-05-18
0.955,0.006463628396143733,35.80303081967213,35.80303081967213,708025797976,10.198019319620931,16.08333,10.870197968306028,18.721511198527477,27.754056277132687,10.516995886894602,0.5459374178280305,0.14299774214091357,0.028092255008734014,1.0840327836476746,,0.5125521934120315,0.10023581294214927,1.0840327836476746,365.12,XLK,V,2025-05-18
1.061,0.004869016595803045,40.474120063912345,40.474120063912345,525688682640,14.411184210526315,25.69299,15.227020305125974,79.74087243291861,30.926541249928,16.720394736842106,2.8184679958027283,0.1499776686020545,-0.00307437610797976,1.1108368857976216,,1.8764321661848165,0.12228065981353096,1.1108368857976216,583.28,XLK,MA,2025-05-18
1.059,0.009776475219806657,106.55454680829942,106.55454680829942,1074912789500,2.1454739084132055,0.0,0.03632541368464753,15.379557666680995,44.44471969459056,4.41618743343983,0.9540042126982762,-0.5813804857264593,-0.19313212541076819,0.9125777140124343,,0.14754704682527767,0.4398503587481504,1.0038259206121474,228.61,XLK,AVGO,2025-05-18
0.888,0.02530650738761396,25.865116421568626,25.865116421568626,253098809800,2.4596834966088923,4.3356,3.7181104856004863,5.513687166648525,26.083592675734803,3.3888470233609644,0.6374006748666594,-0.18179655910568462,-0.04515431768886947,0.8692274242643862,,0.21497373750679202,-0.05605459840696165,0.9513262791708943,63.62,XLK,CSCO,2025-05-18
1.344,0.018634517926280337,25.91751613431357,25.91751613431357,198882199940,12.257733277896698,16.655,16.423520750375435,6.8089877664770695,16.757254407905187,15.54907644023472,0.27560402766144204,0.057225749564472794,0.04396026425206559,1.4773571242393984,,0.2684886617533483,0.012239863382286663,1.4773571242393984,317.69,XLK,ACN,2025-05-18
1.551,,26.93919419345282,26.93919419345282,177778675000,15.48394495412844,30.67,1.2035424168441875,13.888239786177932,19.420786854768156,21.057339449541285,0.5011836578846888,0.02431834929992631,0.08969140593611329,1.1846556804539998,,0.47720364741641336,0.10799113813179453,1.1846556804539998,417.125,XLK,ADBE,2025-05-18
1.421,0.005550403572041903,45.05613199935452,45.05613199935452,279350855100,6.461939520333681,17.15,9.555007303311388,4.564315139031925,34.79324303875587,12.965589155370177,0.18622594935674236,0.4983075435203095,0.1115581916914797,1.0624374553252323,,0.10458453930991418,0.08715609490202829,1.0624374553252323,291.15,XLK,CRM,2025-05-18
1.144,0.005771006463527239,-4.900467805792873,-4.900467805792873,94480920000,-4.419986184664978,2.03,2.146404898937267,0.9429947070852881,90.45661333333332,-2.954869905595211,0.5027366774930832,-12.104795737122558,-0.8907194343574083,0.9278610057810655,,-0.18556407040337178,-0.020782621523935976,1.3095667309007273,21.66,XLK,INTC,2025-05-18
1.292,0.022295081967213113,15.248618784530386,15.248618784530386,167445000000,10.00090579710145,14.0,3.072434465734109,6.071840738603578,13.163580246913579,10.603260869565217,0.5273730525100981,0.4023783185840708,0.11977176893322218,2.083403185247276,,0.4184098832802789,0.08771635957565606,2.732606873428332,152.5,XLK,QCOM,2025-05-18
0.955,0.028541114058355438,35.20110814693208,35.20110814693208,171246972000,5.354945054945055,11.53,23.05672583624049,10.455625990491283,23.803094250459438,1.598901098901099,0.7831281238571255,-0.262826420890937,-0.06244414468461189,3.374447569304942,,0.28753079317313507,-0.10719789942348308,5.257533145841704,188.5,XLK,TXN,2025-05-18
0.629,0.0250787224471435,45.23173396674584,45.23173396674584,247925943720,5.897629310344827,13.39,-4.842020045948364,9.20957142857143,24.635083439046152,12.866379310344827,2.486421130952381,-0.19714742735270593,-0.1830987062852714,0.9657893237623199,,0.21324553627959986,0.014435822825735531,1.0065515866233692,266.76,XLK,IBM,2025-05-18
1.968,,85.23367759317468,85.23367759317468,189979438000,1.3746913580246913,10.49,2.4149541984732834,3.2794077503844097,31.72913521695257,1.6993827160493826,0.08173666660907725,0.9215456674473068,-0.5972031359629993,1.9705309619628717,,0.0389043201788865,0.13690476190476192,2.8034532000519277,117.17,XLK,AMD,2025-05-18
1.24,0.006206361520558573,61.79729996707276,61.79729996707276,187384817360,10.846428571428572,28.63752,15.331615848973769,10.456203688227756,42.330498093556926,20.114285714285714,0.3839768232213494,0.24286912751677853,-0.0003105545648483425,1.272461345591308,,0.16577963372362783,0.13342149220489977,1.272461345591308,670.28,XLK,INTU,2025-05-18
