,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
ADBE,1.108131,,26.762463,43.402195,206920663040.0,10.02,16.25,2.1,13.9899,28.714,5786500096.0,33.307,0.073,0.39909,0.933,466.24,0.35126,0.144,1.071,434.89
CMCSA,0.985525,0.028800001,10.677507,12.672886,180015464448.0,3.109,3.69,0.99,1.8794123,7.142,10681124864.0,106.062,-0.05,0.29823,0.681,51.48,0.14338,0.051,0.877,39.4
DIS,1.237122,,23.258894,107.5777,213920415744.0,1.094,5.06,0.63,2.416186,22.763,6042124800.0,50.016,-0.478,0.14069,0.913,,0.03131,0.233,1.062,117.69
WMT,0.522349,0.017,19.318455,45.711273,360105115648.0,2.84,6.72,1.95,4.383442,12.207,-1708499968.0,79.754,-0.237,0.06081,0.202,141.88,0.15526,0.024,0.862,129.82
CRM,1.075776,,39.645435,102.71177,183929044992.0,1.818,4.71,2.38,3.2204823,68.749,9313000448.0,24.416,-0.943,0.09578,0.877,244.57,0.01977,0.243,1.026,186.73
BMY,0.442315,0.0293,9.497449,,165274402816.0,-2.42,7.84,2.03,4.4413958,8.866,13855375360.0,131.812,0.404,0.44831002,1.234,81.38,0.19087,0.016,1.443,74.46
DHR,0.829289,0.0034,28.715975,36.942398,208070524928.0,7.882,10.14,2.64,5.177546,21.449,6011874816.0,45.411,-0.061,0.3493,1.138,325.52,0.14213,0.074,1.751,291.18
PM,0.681566,0.0515,15.469674,17.32927,154857881600.0,5.74,6.43,7.75,,12.572,9147124736.0,,0.029,0.43869,0.469,109.17,,0.031,0.894,99.47
INTC,0.670923,0.0402,9.618918,6.8999615,144744529920.0,5.158,3.7,4.27,1.6066996,6.216,2844124928.0,35.004,,0.34515998,1.234,48.33,0.20496,-0.22,1.859,35.59
WFC,1.165602,0.0274,12.09893,10.794371,180422148096.0,4.192,3.74,1.51,1.066186,,,,-0.464,0.0,,53.08,0.099530004,-0.237,,45.25
NEE,0.449127,0.019199999,32.638687,145.65146,175474180096.0,0.614,2.74,3.26,4.787986,35.617,-10639250432.0,142.54,4.385,0.37709,0.298,91.64,0.03738,0.32,0.534,89.43
T,0.691358,0.0591,5.619938,139.84497,128823648256.0,0.129,3.21,-1.87,0.7865022,5.698,42128248832.0,113.785,1.663,0.33921,0.321,22.76,0.112679996,-0.327,0.719,18.04
QCOM,1.223073,0.0207,12.700171,18.78399,165569609728.0,7.87,11.64,0.82,16.715288,10.219,5584124928.0,96.866,0.859,0.39848998,0.9,194.73,1.0618,0.357,1.606,147.83
LIN,0.896551,0.0155,29.638567,45.007355,156775202816.0,6.796,10.32,,3.5370917,15.567,6205624832.0,39.091,-0.538,0.32334,0.558,326.56,0.083450004,0.115,0.737,305.87
TXN,0.974031,0.0257,22.121508,23.37699,168137146368.0,7.788,8.23,1.97,13.835397,14.431,4167875072.0,51.405,0.195,0.57405996,4.132,184.63,0.6795,0.138,5.095,182.06
RTX,0.791826,0.023599999,18.667336,42.340908,139425054720.0,2.2,4.99,1.17,1.9567273,14.882,6288249856.0,45.824,0.285,0.17261,0.714,112.18,0.06504,0.027,1.097,93.15
AMGN,0.581524,0.031400003,13.835654,25.600454,139887116288.0,9.701,17.95,2.02,17.076944,12.605,7442625024.0,4023.362,-0.053,0.48988998,0.902,251.76,1.11668,0.057,1.437,248.35
UPS,1.098765,0.0312,16.89504,27.794697,177678696448.0,7.355,12.1,2.59,14.753897,10.964,7236250112.0,147.762,0.066,0.16619,1.354,209.18,0.80591005,0.057,1.475,204.43
