Ticker,Beta,Dividend_Yield,Forward_PE,Trailing_PE,Market_Cap,Trailing_EPS,Forward_EPS,PEG_Ratio,Price_To_Book,EV_to_EBITDA,Free_Cash_Flow,Debt_to_Equity,Earnings_Growth,Ebitda_Margins,Quick_Ratio,Target_Mean_Price,Return_on_Equity,Revenue_Growth,Current_Ratio,Current_Price,ETF,date
ALL,0.481,0.0177,10.886728,13.405947,54917496832.0,15.47,19.03,,2.9115539,9.265,2982249984.0,38.833,,0.0992,0.256,221.29411,0.23783001,0.147,0.431,207.39,XLF,2024-11-29
MSCI,1.11,0.0106,35.780983,40.00197,47777492992.0,15.24,17.04,,,31.769,1122748416.0,,0.082,0.57893,0.828,637.53845,,0.159,0.933,609.63,XLF,2024-11-29
AFL,0.958,0.0175,15.897741,16.93908,63330193408.0,6.73,7.17,,2.5559964,13.95,2892499968.0,50.141,,0.27622998,1.349,104.08333,0.16038,-0.404,1.492,114.0,XLF,2024-11-29
BK,1.06,0.023,12.437996,18.315437,59525877760.0,4.47,6.53,,1.581082,,,,0.137,,,81.73188,0.08563,0.047,,81.87,XLF,2024-11-29
DFS,1.402,0.0153,14.3496065,14.700241,45803061248.0,12.41,12.69,,2.6529484,,,105.313,0.413,,1.174,168.41667,0.20263,0.605,1.247,182.43,XLF,2024-11-29
FRC,,,,,,,,,,,,,,,,,,,,,XLF,2024-11-29
MTB,0.732,0.024500001,13.528812,16.283493,36500959232.0,13.51,16.28,,1.3801996,,,,0.045,,,220.0,0.08676,0.012,,219.99,XLF,2024-11-29
TROW,1.423,0.0399,13.1494,13.564074,27512170496.0,9.13,9.35,,2.6841214,9.719,1782687488.0,3.247,0.331,0.38321,1.904,114.14286,0.20495,0.069,1.904,123.84,XLF,2024-11-29
AMP,1.334,0.0104,14.865117,21.957535,55683465216.0,26.14,38.63,,9.7640505,,4073125120.0,67.402,-0.414,,2.157,543.9,0.56751,0.119,2.972,573.97,XLF,2024-11-29
SIVB,,,,,,,,,,,,,,,,,,,,,XLF,2024-11-29
STT,1.48,0.0308,10.524652,15.440439,28878307328.0,6.38,9.34,,1.2593805,,,,0.73,,,99.4,0.0855,0.201,,98.51,XLF,2024-11-29
FITB,1.231,0.0306,13.263237,16.02,32226295808.0,3.0,3.65,,1.741052,,,,-0.132,,,49.025,0.119160004,-0.03,,48.06,XLF,2024-11-29
WTW,0.742,0.011,18.18908,,32433451008.0,-7.22,18.09,,4.335357,14.341,1030374976.0,79.115,,0.26313,0.3,333.6316,-0.08361,0.057,1.142,322.0,XLF,2024-11-29
HIG,0.936,0.0168,10.611245,12.380522,35746459648.0,9.96,11.61,,2.1506932,8.551,4215875072.0,25.629,0.178,0.16309,1.079,129.29411,0.19740999,0.095,1.871,123.31,XLF,2024-11-29
NTRS,1.073,0.0271,14.468062,13.843089,22033913856.0,8.03,7.64,,1.8571858,,,,0.418,,,105.46429,0.13732,0.145,,111.16,XLF,2024-11-29
NDAQ,0.96,0.0116,26.45091,49.993977,47699165184.0,1.66,3.14,,4.308036,23.003,1464000000.0,93.096,0.041,0.35799,0.154,81.94444,0.10888,0.311,0.953,82.99,XLF,2024-11-29
CFG,1.32,0.0349,12.475704,18.878431,21215344640.0,2.55,3.87,,0.9392071,,,,-0.112,,,48.61667,0.05426,-0.061,,48.14,XLF,2024-11-29
RJF,1.002,0.0106,15.075024,17.451546,34540736512.0,9.7,11.14,,3.130004,,,45.916,0.387,,,149.57143,0.19348,0.132,,169.28,XLF,2024-11-29
RF,1.182,0.0367,12.140214,15.401131,24775632896.0,1.77,2.26,,1.463467,,,,0.228,,,26.76045,0.10042,0.156,,27.26,XLF,2024-11-29
HBAN,1.057,0.0344,13.575241,17.485437,26165108736.0,1.03,1.34,,1.4366624,,,,-0.055,,,17.66895,0.08545,-0.012,,18.01,XLF,2024-11-29
CINF,0.666,0.0202,21.747887,8.213259,24983828480.0,19.46,7.33,,1.8097309,5.947,3040124928.0,6.331,,0.33418,0.996,152.33333,0.25135002,0.833,1.171,159.83,XLF,2024-11-29
