Ticker,Beta,Dividend_Yield,Forward_PE,Trailing_PE,Market_Cap,Trailing_EPS,Forward_EPS,PEG_Ratio,Price_To_Book,EV_to_EBITDA,Free_Cash_Flow,Debt_to_Equity,Earnings_Growth,Ebitda_Margins,Quick_Ratio,Target_Mean_Price,Return_on_Equity,Revenue_Growth,Current_Ratio,Current_Price,ETF,date
TT,1.221,0.0081,32.90857,38.18532,93659488256.0,10.9,12.65,,12.347078,26.277,2474449920.0,69.203,0.233,0.19038,0.873,408.82773,0.35146,0.114,1.222,416.22,XLI,2024-11-29
OTIS,0.942,0.0152,24.531721,25.616917,41136492544.0,4.02,4.19,,,19.065,1182499968.0,,0.436,0.17647,0.643,101.27467,,0.007,0.802,102.98,XLI,2024-11-29
VRSK,0.862,0.0053,40.15636,45.402775,41545691136.0,6.48,7.29,,138.8438,32.575,763787520.0,1069.413,0.174,0.48277,0.738,285.93332,2.65609,0.07,0.818,294.21,XLI,2024-11-29
CMI,0.971,0.0196,16.961058,24.52845,51448737792.0,15.29,22.52,,4.987765,12.629,2196124928.0,72.251,0.233,0.13397999,0.658,365.42368,0.19375,0.003,1.32,375.04,XLI,2024-11-29
PCAR,0.89,0.010299999,14.972435,13.101903,61343215616.0,8.93,7.76,,3.286517,11.404,-217475008.0,83.654,-0.209,0.16961001,4.733,113.98833,0.27142,-0.052,5.342,117.0,XLI,2024-11-29
TDG,1.423,,28.939745,48.925026,70455001088.0,25.61,43.48,,,22.868,5857249792.0,,0.128,0.48966998,1.254,1500.17,,0.18,1.582,1252.97,XLI,2024-11-29
FAST,0.979,0.0186,38.044594,41.57214,47870353408.0,2.01,2.19,,13.307852,28.461,822287488.0,14.644,0.009,0.22636,2.013,73.55615,0.32698002,0.035,4.397,83.56,XLI,2024-11-29
RSG,0.707,0.0106,31.924635,34.983974,68361080832.0,6.24,6.81,,6.09096,16.886,1426762496.0,114.524,0.178,0.30376,0.566,219.3715,0.18284,0.065,0.645,218.3,XLI,2024-11-29
AME,1.163,0.0057,26.588535,33.864113,44961648640.0,5.74,7.3,,4.707906,22.114,1273526272.0,26.778,,0.30944002,0.771,197.07468,0.14886,0.053,1.39,194.38,XLI,2024-11-29
CPRT,1.271,,35.861374,44.328674,61078040576.0,1.43,1.74,,8.1134,29.374,736320384.0,1.573,-0.073,0.41407,5.742,59.76375,0.20129,0.072,7.029,63.39,XLI,2024-11-29
EFX,1.594,0.006,28.301418,58.2539,32420884480.0,4.49,9.41,,6.60155,22.098,751737472.0,108.422,-0.129,0.3038,0.79,313.6555,0.11927,0.093,0.882,261.56,XLI,2024-11-29
ROK,1.359,0.0178,26.268478,35.601933,33320421376.0,8.29,11.4,,9.541884,22.988,592512512.0,111.327,-0.211,0.19525999,0.631,285.16666,0.25539,-0.206,1.077,295.14,XLI,2024-11-29
ODFL,0.989,0.0046,38.35258,39.429073,48066940928.0,5.71,5.9,,11.526726,24.263,752302144.0,1.437,-0.091,0.33275002,1.176,197.81525,0.30241,-0.03,1.328,225.14,XLI,2024-11-29
LUV,1.153,0.0222,20.588255,,19407491072.0,-0.08,1.59,,1.8641628,11.368,-1718249984.0,87.36,-0.653,0.061440002,0.783,29.621,-0.00447,0.053,0.884,32.36,XLI,2024-11-29
GWW,1.151,0.0068,28.592724,32.66504,58700296192.0,36.9,42.11,,16.759687,21.447,1546249984.0,83.325,0.021,0.16755,1.592,1073.1631,0.52611,0.043,2.595,1205.34,XLI,2024-11-29
FTV,1.174,0.004,19.072601,31.732,27523463168.0,2.5,4.17,,2.6073096,18.124,1111237504.0,38.261,0.017,0.27416,0.878,88.00833,0.08615,0.027,1.254,79.33,XLI,2024-11-29
DAL,1.341,0.0094,8.650076,8.851595,41181835264.0,7.21,7.02,,2.9983556,7.403,9125000.0,186.78,0.148,0.13954,0.268,73.56455,0.4067,0.012,0.393,63.82,XLI,2024-11-29
PWR,1.009,0.0011999999,33.692535,63.799995,50855284736.0,5.4,10.16,,7.192034,29.444,1833279744.0,70.631,0.075,0.081599995,1.127,320.9121,0.12696,0.155,1.233,344.52,XLI,2024-11-29
URI,1.682,0.0076,18.474611,22.658293,56828997632.0,38.22,46.86,,6.6307306,15.45,2587749888.0,167.987,0.007,0.30324,0.714,836.556,0.31401,0.06,0.825,866.0,XLI,2024-11-29
DOV,1.218,0.01,21.872864,18.70118,28247832576.0,11.01,9.41,,4.9575033,17.742,847857280.0,59.444,0.198,0.20838,0.761,212.80667,0.2911,0.013,1.569,205.9,XLI,2024-11-29
IR,1.422,0.0008,29.432373,50.814636,41981759488.0,2.05,3.54,,4.0923195,23.937,996287488.0,47.256,0.064,0.2656,1.606,106.8825,0.08479,0.07,2.36,104.17,XLI,2024-11-29
SWK,1.255,0.0365,16.100407,,13789969408.0,-1.24,5.49,,1.5564101,12.35,1474375040.0,79.081,18.383,0.10816,0.34,103.69133,-0.02031,-0.051,1.291,89.45,XLI,2024-11-29
J,0.702,0.0083,20.954565,29.484343,17507858432.0,4.79,6.65,,2.652107,13.927,1148129280.0,47.856,-0.105,0.0871,1.108,152.16309,0.093260005,0.011,1.141,141.23,XLI,2024-11-29
EXPD,0.974,0.012,22.444876,23.7115,17026680832.0,5.13,5.38,,7.224565,16.113,454065632.0,23.009,0.34,0.10147,1.461,117.0,0.30290002,0.37,1.719,121.64,XLI,2024-11-29
WAB,1.272,0.004,23.168955,33.436665,34484572160.0,6.0,8.49,,3.3938963,18.17,1177624960.0,39.063,0.179,0.20426,0.595,213.905,0.103690006,0.044,1.297,200.62,XLI,2024-11-29
JBHT,1.141,0.009,26.205044,34.383636,19067961344.0,5.5,7.18,,4.766718,13.293,463574624.0,47.555,-0.189,0.12884,0.677,191.81818,0.14192,-0.03,0.944,189.11,XLI,2024-11-29
IEX,0.952,0.0119,26.902782,35.75659,17464064000.0,6.45,8.52,,4.5837226,21.987,485950016.0,55.059,-0.43,0.27003,1.963,230.6923,0.13592,0.006,2.972,230.63,XLI,2024-11-29
XYL,1.05,0.0115,26.687693,36.422413,30793277440.0,3.48,4.75,,2.907577,18.731,822875008.0,19.84,0.428,0.2005,1.314,147.94824,0.08081,0.013,1.956,126.75,XLI,2024-11-29
LDOS,0.688,0.0098,15.880223,18.816837,22069817344.0,8.79,10.45,,4.779794,12.583,1144999936.0,110.135,,0.12637,1.03,203.56462,0.27035,0.069,1.233,165.4,XLI,2024-11-29
GNRC,1.367,,22.582382,39.208332,11197391872.0,4.8,8.21,,4.6472573,19.22,544419776.0,65.432,0.884,0.16014,0.856,177.66667,0.123780005,0.096,2.034,188.2,XLI,2024-11-29
TXT,1.244,0.00090000004,12.77299,18.737417,15885391872.0,4.57,6.7,,2.2852337,11.217,656625024.0,56.941,-0.171,0.11766,0.649,99.26533,0.12597999,0.025,1.833,85.63,XLI,2024-11-29
