Ticker,Beta,Dividend_Yield,Forward_PE,Trailing_PE,Market_Cap,Trailing_EPS,Forward_EPS,PEG_Ratio,Price_To_Book,EV_to_EBITDA,Free_Cash_Flow,Debt_to_Equity,Earnings_Growth,Ebitda_Margins,Quick_Ratio,Target_Mean_Price,Return_on_Equity,Revenue_Growth,Current_Ratio,Current_Price,ETF,date
ULTA,1.326,,17.111523,15.515249,18216427520,24.92,22.87,,7.7882524,10.503,719191232,82.149,-0.158,0.16143,0.386,397.0046,0.54978,0.009,1.759,386.64,XLY,2024-11-29
GPC,0.933,0.0315,14.732295,16.331186,17620033536,7.76,8.47,,3.7528503,10.981,485518752,127.177,-0.355,0.088190004,0.49,131.90909,0.24416,0.025,1.174,126.73,XLY,2024-11-29
GRMN,0.983,0.014099999,27.778141,27.013979,40824512512,7.87,7.46,,5.4416547,24.075,969167360,1.908,0.551,0.26808,2.128,186.015,0.21909,0.241,3.3,212.6,XLY,2024-11-29
VFC,1.545,0.0177,21.226587,,7875923456,-1.03,0.92,,5.599225,18.811,-601015872,524.646,,0.07801,0.465,21.90158,-0.22331,-0.056,1.296,20.23,XLY,2024-11-29
DRI,1.309,0.032,16.701931,20.354504,20711725056,8.66,10.56,,9.702758,15.29,717574976,326.282,0.065,0.15675001,0.108,181.9275,0.48619,0.01,0.353,176.27,XLY,2024-11-29
POOL,1.008,0.0127,31.310017,32.396046,14350348288,11.64,12.03,,10.024989,22.794,464911744,86.515,-0.088,0.12755,0.714,382.4,0.31463,-0.028,2.395,377.09,XLY,2024-11-29
DPZ,0.859,0.0128,26.990385,29.304,16443793408,16.25,17.64,,,24.092,463394112,,0.215,0.19743,0.916,480.6487,,0.031,1.709,476.19,XLY,2024-11-29
KMX,1.686,,22.665987,31.567669,13008968704,2.66,3.77,,2.1107006,34.547,894939136,314.637,0.119,0.03349,0.349,82.41533,0.06853,-0.002,2.254,83.97,XLY,2024-11-29
BBY,1.493,0.0404,13.535768,15.410958,19325249536,5.84,6.84,,6.349654,8.41,1411750016,131.896,0.062,0.06286,0.291,99.25609,0.4241,-0.031,1.013,90.0,XLY,2024-11-29
EXPE,1.785,,13.035696,24.007801,23695237120,7.69,14.36,,17.9924,15.473,1666875008,255.417,0.609,0.12842,0.592,186.39758,0.38564998,0.033,0.733,184.62,XLY,2024-11-29
NVR,1.201,,17.556889,18.91839,28296708096,488.18,518.05,,6.626896,12.909,1009651392,24.537,-0.009,0.20148,3.143,9623.333,0.38716,0.06,6.535,9235.58,XLY,2024-11-29
LKQ,1.286,0.0307,10.755397,14.498155,10213828608,2.71,3.62,,1.646206,9.012,759374976,92.384,-0.082,0.11946,0.567,52.14444,0.117740005,0.004,1.721,39.29,XLY,2024-11-29
LVS,1.117,0.0156,19.32251,26.267328,38469877760,2.02,2.75,,11.227254,12.246,1588375040,384.206,-0.276,0.34133998,0.864,58.75368,0.45166,-0.04,0.902,53.06,XLY,2024-11-29
AAP,1.194,0.024300002,22.81568,52.34177,2470021376,0.79,2.69,,0.9766178,17.934,493546624,171.801,-0.427,0.03186,0.252,44.0,-0.00456,-0.001,1.229,41.35,XLY,2024-11-29
PHM,1.641,0.0064,9.839866,9.990399,27741442048,13.54,13.5,,2.402323,7.613,983120384,19.411,0.093,0.21876,0.553,152.7143,0.26705,0.118,5.838,135.27,XLY,2024-11-29
HAS,0.619,0.0438,14.67349,,9088489472,-4.64,4.43,,7.060035,15.21,1244424960,305.016,,0.17863001,1.183,79.58643,-0.36224997,-0.148,1.472,65.15,XLY,2024-11-29
MGM,2.241,,15.805682,13.741936,11415351296,2.79,2.3,,3.521955,16.12,911929024,841.031,0.146,0.14848,1.062,50.17773,0.2901,0.053,1.243,38.34,XLY,2024-11-29
ETSY,1.992,,11.174755,27.989796,6171311104,1.96,2.6,,,16.987,658231104,,-0.347,0.15677,1.905,62.14815,,0.041,2.388,54.86,XLY,2024-11-29
WHR,1.424,0.0626,9.503647,10.966536,6143665152,10.16,11.55,,2.0145004,11.491,-40250000,245.308,0.313,0.06646,0.457,111.15375,0.20857,-0.189,0.935,111.42,XLY,2024-11-29
TPR,1.556,0.023,12.411814,18.052174,14513481728,3.45,4.76,,4.866385,10.904,990075008,295.298,-0.043,0.21596001,4.233,62.11111,0.29924,-0.004,4.933,62.28,XLY,2024-11-29
BWA,1.186,0.0128,7.4581137,8.495049,7505783808,4.04,4.66,,1.2192695,5.543,621000000,74.606,3.68,0.13283,1.407,41.44706,0.15923999,-0.048,1.844,34.32,XLY,2024-11-29
