,Unnamed: 0,ETF,Ticker,Technical Action,Score,weight,Dollar Amount,Name
0,0,XLY,AMZN,Buy,24.62518068221927,11.164422010591988,558.2211005295993,"Amazon.com, Inc."
1,0,XLK,AAPL,Buy,21.0845506438654,9.55919163922244,477.959581961122,Apple Inc.
2,1,XLK,MSFT,Buy,15.917973510255166,7.216798776637319,360.83993883186594,Microsoft Corporation
3,0,XLE,XOM,Buy,10.307210808007984,4.673023629663182,233.6511814831591,Exxon Mobil Corporation
4,1,XLC,GOOGL,Buy,10.202115447007438,4.625376102657915,231.26880513289575,Alphabet Inc.
5,2,XLC,GOOG,Buy,10.135750623101224,4.595288002582264,229.76440012911323,Alphabet Inc.
6,4,XLP,WMT,Buy,9.67279948865492,4.385397894487632,219.2698947243816,Walmart Inc.
7,0,XLRE,AMT,Buy,9.63235571311155,4.367061729417629,218.35308647088144,American Tower Corporation
8,3,XLV,ABBV,Buy,8.627187392417847,3.911344329057373,195.56721645286865,AbbVie Inc.
9,0,XLU,NEE,Buy,8.523265723442602,3.8642289237550913,193.21144618775455,"NextEra Energy, Inc."
10,9,XLI,GE,Buy,7.916599310742587,3.589182013909452,179.4591006954726,General Electric Company
11,7,XLP,MO,Buy,7.756752777993704,3.516711717282268,175.8355858641134,"Altria Group, Inc."
12,0,XLP,PG,Buy,6.8689293789068335,3.1141954788759003,155.709773943795,The Procter & Gamble Company
13,3,XLI,HON,Buy,6.52601106014905,2.958725154609854,147.9362577304927,Honeywell International Inc.
14,5,XLI,CAT,Buy,6.433135054535387,2.9166175682855133,145.83087841427567,Caterpillar Inc.
15,0,XLC,META,Buy,6.226289323005259,2.8228390467106683,141.1419523355334,"Meta Platforms, Inc."
16,13,XLF,PGR,Buy,6.091644600653042,2.761794601139369,138.08973005696845,The Progressive Corporation
17,5,XLRE,O,Buy,5.505412533417895,2.496012096669027,124.80060483345136,Realty Income Corporation
18,7,XLB,DOW,Buy,5.426478350128372,2.46022537312462,123.011268656231,Dow Inc.
19,3,XLU,D,Buy,5.149943346547165,2.334851532399447,116.74257661997235,"Dominion Energy, Inc."
20,25,XLF,PRU,Buy,4.645555809031171,2.106175227507281,105.30876137536404,"Prudential Financial, Inc."
21,8,XLY,BKNG,Buy,4.2575866277347325,1.930280003712036,96.5140001856018,Booking Holdings Inc.
22,6,XLV,TMO,Buy,3.713529935859014,1.6836187270224825,84.18093635112412,Thermo Fisher Scientific Inc.
23,10,XLF,CB,Buy,3.612512044166249,1.6378198194720237,81.89099097360118,Chubb Limited
24,3,XLK,V,Buy,3.3923994750948294,1.5380264558146637,76.90132279073318,Visa Inc.
25,41,XLV,STE,Buy,2.60220163110022,1.1797711270086582,58.98855635043291,STERIS plc
26,0,XLB,LIN,Buy,1.8290846495292628,0.8292598208298743,41.46299104149372,Linde plc
27,36,XLY,NVR,Buy,1.6585190220775097,0.7519297630346934,37.59648815173467,"NVR, Inc."
28,27,XLRE,FRT,Buy,1.6511812650496984,0.7486030131875818,37.43015065937909,Federal Realty Investment Trust
29,17,XLB,AMCR,Buy,0.5761872014979613,0.2612284213317498,13.061421066587489,Amcor plc
